player,pos,team,source_rank
Jeremiyah Love,RB,ARI,1
Carnell Tate,WR,TEN,2
Jordyn Tyson,WR,NO,3
Fernando Mendoza,QB,LV,4
Makai Lemon,WR,PHI,5
KC Concepcion,WR,CLE,6
Jadarian Price,RB,SEA,7
Kenyon Sadiq,TE,NYJ,8
Ty Simpson,QB,LAR,9
Eli Stowers,TE,PHI,10
Denzel Boston,WR,CLE,11
Omar Cooper Jr.,WR,NYJ,12
Antonio Williams,WR,WAS,13
Chris Bell,WR,MIA,14
Nicholas Singleton,RB,TEN,15
De'Zhaun Stribling,WR,SF,16
Germie Bernard,WR,PIT,17
Kaytron Allen,RB,WAS,18
Malachi Fields,WR,NYG,19
Carson Beck,QB,ARI,20
Zachariah Branch,WR,ATL,21
Ted Hurst,WR,TB,22
Oscar Delp,TE,NO,23
Eli Raridon,TE,NE,24
Chris Brazzell II,WR,CAR,25
Elijah Sarratt,WR,BAL,26
Max Klare,TE,LAR,27
Demond Claiborne,RB,MIN,28
Emmett Johnson,RB,KC,29
Mike Washington Jr.,RB,LV,30
Drew Allar,QB,PIT,31
Skyler Bell,WR,BUF,32
Ja'Kobi Lane,WR,BAL,33
Justin Joly,TE,DEN,34
Kaelon Black,RB,SF,35
Bryce Lance,WR,NO,36
Brenen Thompson,WR,LAC,37
Cade Klubnik,QB,NYJ,38
Caleb Douglas,WR,MIA,39
Adam Randall,RB,BAL,40
Eli Heidenreich,RB,PIT,41
Seth McGowan,RB,IND,42
Taylen Green,QB,CLE,43
Marlin Klein,TE,HOU,44
Cole Payton,QB,PHI,45
Cyrus Allen,WR,KC,46
Kevin Coleman,WR,MIA,47
Jonah Coleman,RB,DEN,48
