player,pos,team,source_rank,value
Jeremiyah Love,RB,ARI,1,5567
Carnell Tate,WR,TEN,2,4506
Fernando Mendoza,QB,LV,3,3647
Makai Lemon,WR,PHI,4,3094
Jordyn Tyson,WR,NO,5,2952
KC Concepcion,WR,CLE,6,1529
Jadarian Price,RB,SEA,7,1458
Kenyon Sadiq,TE,NYJ,8,1297
Omar Cooper,WR,NYJ,9,1208
Ty Simpson,QB,LAR,10,955
Eli Stowers,TE,PHI,11,792
Denzel Boston,WR,CLE,12,721
De'Zhaun Stribling,WR,SF,13,611
Jonah Coleman,RB,DEN,14,570
Germie Bernard,WR,PIT,15,461
Chris Bell,WR,MIA,16,348
Ted Hurst,WR,TB,17,340
Eli Raridon,TE,NE,18,317
Nicholas Singleton,RB,TEN,19,282
Chris Brazzell,WR,CAR,20,275
Justin Joly,TE,DEN,21,244
Max Klare,TE,LAR,22,239
Antonio Williams,WR,WAS,23,223
Michael Trigg,TE,DAL,24,207
Kevin Coleman,WR,MIA,25,184
Malachi Fields,WR,NYG,26,180
Mike Washington,RB,LV,27,176
Dae'Quan Wright,TE,PHI,28,172
Kaelon Black,RB,SF,29,160
Tyren Montgomery,WR,TEN,30,153
Tanner Koziol,TE,JAX,31,149
Brenen Thompson,WR,LAC,32,142
Emmett Johnson,RB,KC,33,118
Elijah Sarratt,WR,BAL,34,115
Bryce Lance,WR,NO,35,113
Adam Randall,RB,BAL,36,110
Seth McGowan,RB,IND,37,85
Ja'Kobi Lane,WR,BAL,38,77
Zachariah Branch,WR,ATL,39,66
Jack Endries,TE,CIN,40,60
Skyler Bell,WR,BUF,41,51
Kaytron Allen,RB,WAS,42,48
Demond Claiborne,RB,MIN,43,45
Le'Veon Moss,RB,MIA,44,13
Sam Roush,TE,CHI,45,10
Taylen Green,QB,CLE,46,9
Caleb Douglas,WR,MIA,47,
Robert Henry Jr.,RB,WAS,48,
Jam Miller,RB,NE,49,
Deion Burks,WR,IND,50,
Luke Altmyer,QB,DET,51,
Cole Payton,QB,PHI,52,
Dillon Bell,WR,MIN,53,
Aaron Anderson,WR,CLE,54,
Jaydn Ott,RB,KC,55,
Desmond Reid,RB,BUF,56,
Harrison Wallace III,WR,ARI,57,
Josh Cameron,WR,JAX,58,
Lewis Bond,WR,HOU,59,
Diego Pavia,QB,BAL,60,
Sawyer Robertson,QB,LV,61,
Josh Cuevas,TE,BAL,62,
J'Mari Taylor,RB,ROOKIE,63,
Rahsul Faison,RB,ROOKIE,64,
CJ Daniels,WR,LAR,65,
Chase Roberts,WR,LV,66,
Eric McAlister,WR,ROOKIE,67,
Eric Rivers,WR,TB,68,
Haynes King,QB,CAR,69,
Joe Royer,TE,CLE,70,
Jordan Hudson,WR,DAL,71,
Roman Hemby,RB,LV,72,
Terion Stewart,RB,KC,73,
