player,pos,team,source_rank
Jeremiyah Love,RB,ARI,1
Fernando Mendoza,QB,LV,2
Carnell Tate,WR,TEN,3
Jordyn Tyson,WR,NO,4
Makai Lemon,WR,PHI,5
Jadarian Price,RB,SEA,6
KC Concepcion,WR,CLE,7
Omar Cooper Jr.,WR,NYJ,8
Denzel Boston,WR,CLE,9
Ty Simpson,QB,LAR,10
Antonio Williams,WR,WAS,11
Kenyon Sadiq,TE,NYJ,12
Germie Bernard,WR,PIT,13
Chris Bell,WR,MIA,14
Malachi Fields,WR,NYG,15
Eli Stowers,TE,PHI,16
Chris Brazzell II,WR,CAR,17
Zachariah Branch,WR,ATL,18
Jonah Coleman,RB,DEN,19
Mike Washington Jr.,RB,LV,20
Ted Hurst,WR,TB,21
Nicholas Singleton,RB,TEN,22
Emmett Johnson,RB,KC,23
De'Zhaun Stribling,WR,SF,24
Eli Raridon,TE,NE,25
Drew Allar,QB,PIT,26
Elijah Sarratt,WR,BAL,27
Max Klare,TE,LAR,28
Oscar Delp,TE,NO,29
Demond Claiborne,RB,MIN,30
Tanner Koziol,TE,JAX,31
Caleb Douglas,WR,MIA,32
Carson Beck,QB,ARI,33
Skyler Bell,WR,BUF,34
Eli Heidenreich,RB,PIT,35
Brenen Thompson,WR,LAC,36
Taylen Green,QB,CLE,37
Cade Klubnik,QB,NYJ,38
Kaytron Allen,RB,WAS,39
Adam Randall,RB,BAL,40
