player,pos,team,source_rank
Jeremiyah Love,RB,ARI,1
Carnell Tate,WR,TEN,2
Fernando Mendoza,QB,LV,3
Makai Lemon,WR,PHI,4
Jordyn Tyson,WR,NO,5
KC Concepcion,WR,CLE,6
Kenyon Sadiq,TE,NYJ,7
Omar Cooper Jr.,WR,NYJ,8
Jadarian Price,RB,SEA,9
Denzel Boston,WR,CLE,10
Eli Stowers,TE,PHI,11
Ty Simpson,QB,LAR,12
Chris Bell,WR,MIA,13
Mike Washington Jr.,RB,LV,14
Jonah Coleman,RB,DEN,15
Zachariah Branch,WR,ATL,16
Chris Brazzell II,WR,CAR,17
Elijah Sarratt,WR,BAL,18
Emmett Johnson,RB,KC,19
Nicholas Singleton,RB,TEN,20
Antonio Williams,WR,WAS,21
Malachi Fields,WR,NYG,22
Garrett Nussmeier,QB,KC,23
Ja'Kobi Lane,WR,BAL,24
Germie Bernard,WR,PIT,25
Skyler Bell,WR,BUF,26
Carson Beck,QB,ARI,27
Seth McGowan,RB,IND,28
Demond Claiborne,RB,MIN,29
Max Klare,TE,LAR,30
Michael Trigg,TE,DAL,31
Kaytron Allen,RB,WAS,32
Cade Klubnik,QB,NYJ,33
Le'Veon Moss,RB,FA,34
Kevin Coleman,WR,MIA,35
Justin Joly,TE,DEN,36
