player,pos,team,source_rank
Jeremiyah Love,RB,ARI,1
Fernando Mendoza,QB,LV,2
Carnell Tate,WR,TEN,3
Kenyon Sadiq,TE,NYJ,4
Makai Lemon,WR,PHI,5
Jordyn Tyson,WR,NO,6
KC Concepcion,WR,CLE,7
Denzel Boston,WR,CLE,8
Omar Cooper Jr.,WR,NYJ,9
Arvell Reese,LB,?,10
Jadarian Price,RB,SEA,11
Jacob Rodriguez,LB,?,12
Eli Stowers,TE,PHI,13
Sonny Styles,LB,?,14
Jonah Coleman,RB,DEN,15
David Bailey,DL,?,16
Mike Washington Jr.,RB,LV,17
Ty Simpson,QB,LAR,18
Emmett Johnson,RB,KC,19
Kaytron Allen,RB,WAS,20
Ted Hurst,WR,TB,21
Antonio Williams,WR,WAS,22
Rueben Bain Jr.,DL,?,23
Elijah Sarratt,WR,BAL,24
Chris Bell,WR,MIA,25
Chris Brazzell II,WR,CAR,26
Germie Bernard,WR,PIT,27
Malachi Fields,WR,NYG,28
Nicholas Singleton,RB,TEN,29
Demond Claiborne,RB,MIN,30
Caleb Downs,DB,?,31
Jake Golday,LB,?,32
Max Klare,TE,LAR,33
Justin Joly,TE,DEN,34
CJ Allen,LB,?,35
Emmanuel McNeil-Warren,DB,?,36
