player,pos,team,source_rank
Jeremiyah Love,RB,ARI,1
Fernando Mendoza,QB,LV,2
Carnell Tate,WR,TEN,3
Jordyn Tyson,WR,NO,4
KC Concepcion,WR,CLE,5
Jadarian Price,RB,SEA,6
Makai Lemon,WR,PHI,7
Ty Simpson,QB,LAR,8
Nicholas Singleton,RB,TEN,9
Omar Cooper Jr.,WR,NYJ,10
Kenyon Sadiq,TE,NYJ,11
Denzel Boston,WR,CLE,12
Eli Stowers,TE,PHI,13
Antonio Williams,WR,WAS,14
Jonah Coleman,RB,DEN,15
Zachariah Branch,WR,ATL,16
Chris Bell,WR,MIA,17
Ted Hurst,WR,TB,18
Kaytron Allen,RB,WAS,19
Emmett Johnson,RB,KC,20
Malachi Fields,WR,NYG,21
Drew Allar,QB,PIT,22
Carson Beck,QB,ARI,23
De'Zhaun Stribling,WR,SF,24
